epoch,acc,loss,lr,val_acc,val_loss
0,0.6706738471984863,0.6466412544250488,1e-04,0.7730581760406494,0.6700974702835083
1,0.7449818253517151,0.563022792339325,1e-04,0.792792022228241,0.6086283922195435
2,0.7710067629814148,0.5168903470039368,1e-04,0.7934396266937256,0.5233799815177917
3,0.7799192070960999,0.48699289560317993,1e-04,0.7934396266937256,0.5032991170883179
4,0.7812479138374329,0.4762073755264282,1e-04,0.7934396266937256,0.5071378350257874
5,0.787707507610321,0.4625963270664215,1e-04,0.7927787899971008,0.486347496509552
6,0.7960037589073181,0.44539016485214233,1e-04,0.7928709387779236,0.46969231963157654
7,0.792394757270813,0.4390009045600891,1e-04,0.8042258024215698,0.4802761673927307
8,0.8054279685020447,0.4183129370212555,1e-04,0.7979968786239624,0.49736371636390686
9,0.8151142597198486,0.39932897686958313,1e-04,0.7945996522903442,0.5036195516586304
10,0.8227248787879944,0.38746505975723267,1e-04,0.8054752349853516,0.5252193212509155
11,0.8352605104446411,0.3664839267730713,1e-05,0.7987728118896484,0.48793697357177734
12,0.8485788702964783,0.33679524064064026,1e-05,0.7935778498649597,0.4755030572414398
13,0.8569898009300232,0.3266119956970215,1e-05,0.8010297417640686,0.4726652204990387
14,0.8631091117858887,0.31850892305374146,1e-05,0.8044748902320862,0.46984830498695374
15,0.8690559267997742,0.3079424202442169,1e-06,0.8081294894218445,0.46476441621780396
16,0.869979977607727,0.306545615196228,1e-06,0.8089786767959595,0.4620990753173828
17,0.8707925081253052,0.305259644985199,1e-06,0.8097543120384216,0.4609712064266205
18,0.8715039491653442,0.30409324169158936,1e-06,0.8102321624755859,0.46127375960350037
19,0.8721566200256348,0.30298784375190735,1e-06,0.8104530572891235,0.46229004859924316
20,0.8727689385414124,0.30191248655319214,1e-06,0.8106408715248108,0.4635215401649475
21,0.8733644485473633,0.30084720253944397,1e-06,0.8107963800430298,0.46464934945106506
22,0.873988926410675,0.29964709281921387,1e-07,0.8106024265289307,0.4661850929260254
23,0.874049186706543,0.2995402216911316,1e-07,0.8103289008140564,0.46742120385169983
24,0.87410968542099,0.29943323135375977,1e-07,0.8099840879440308,0.4683656692504883
25,0.8741680979728699,0.2993290424346924,1e-07,0.809677243232727,0.46907201409339905
26,0.8742320537567139,0.29920923709869385,1e-08,0.8094131350517273,0.46965235471725464
27,0.8742387294769287,0.29919904470443726,1e-08,0.8091815710067749,0.4700647294521332
28,0.8742442727088928,0.29918861389160156,1e-08,0.8090140223503113,0.4703546464443207
29,0.8742499351501465,0.2991783618927002,1e-08,0.8089009523391724,0.47055763006210327
30,0.8742561340332031,0.2991666793823242,1e-09,0.8088235259056091,0.47070589661598206
31,0.8742563128471375,0.29916635155677795,1e-09,0.8087631464004517,0.47080788016319275
32,0.8742566108703613,0.29916608333587646,1e-09,0.8087314367294312,0.47087782621383667
33,0.8742567300796509,0.299165815114975,1e-09,0.8087100982666016,0.47092586755752563
34,0.8742567896842957,0.2991654574871063,9.9999994e-11,0.8086920380592346,0.47095903754234314
35,0.8742567896842957,0.2991654574871063,9.9999994e-11,0.8086768984794617,0.47098174691200256
36,0.8742567896842957,0.2991654574871063,9.9999994e-11,0.8086709380149841,0.47099727392196655
37,0.8742567896842957,0.29916542768478394,9.9999994e-11,0.8086661100387573,0.4710078835487366
